Timestamp;1. Do you have a social media account? (e.g., Facebook, Twitter, etc.);2. Which social media account do you use usually?;3. Which device do you usually use to connect social media?;4. Which type of internet connection do you use?;5. How long have you been using a social media account?;6. How frequently do you post (upload status or add photos/videos) on social media? ;7. How much time do you spend daily in social media?;8. When do you usually use social media?;9. How many friends do you have on social media?;10. How many friends do you know personally in social media? ;11. How many groups you are tagged in social media?;12. What is your main purpose for using social media (e.g. Facebook)?;13. What contents do you mainly look for in your social media news feed?;14.Do you believe social media is a good thing?;15. When you see something in social media, do you instantly believe it?;16. Have you ever experienced peer pressure due to social media?;17. Does your emotion get influenced by other's posts (success, failure, loss)? ;18. Have you ever compared yourself with other’s success or luxurious life?;19. Do you think, your mental wellbeing would be better if you do not use social media?;20. If answer is yes, are you trying to control that thing and trying to reduce the use of social media?;21. Please write your age in years (number).;22. Gender;23. Marital Status;24. Religion;25. Education;26. Profession;27. Monthly income;28. Area of residence;29. Living with-;30. Body weight (Kg);31. Height (m);32. Smoking habit
3/4/2021 18:50:26;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;1-2 per day;1-3 hours;Evening;500-2000;Many of them;5-10;To make new friends;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Not at all;All the times;Yes;Trying to stop the use;17;Male;Unmarried;Muslim;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;With family;61;1.70;Smoker
3/8/2021 9:27:28;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;1-2 per day;Less than 1 hour;Evening;500-2000;Many of them;10-20;To make new friends;Updates of current affairs/news;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;22;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Rural Area;Without family;54;1.60;Non-smoker
3/6/2021 22:03:50;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Morning;500-2000;Many of them;5-10;To make new friends;Updates of current affairs/news;Yes;Yes;Yes;Not at all;Most of the times;Yes;Trying to reduce the use;21;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Rural Area;With family;54;1.60;Non-smoker
2/26/2021 17:04:00;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;More than 20;To stay connected with people;Both update of current affairs and stay connected with people;Yes;No;Yes;Sometimes;Never;No;Not trying;24;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;54;1.60;Non-smoker
2/23/2021 22:27:04;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;1-3 hours;Morning;Less than 500;Most of them;5-10;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;25;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;Without family;54;1.60;Non-smoker
2/20/2021 21:18:42;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;More than 5 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;5-10;To stay connected with people;Updates of current affairs/news;Yes;No;No;Sometimes;Most of the times;Yes;Not trying;24;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Rural Area;With family;49;1.52;Non-smoker
2/4/2021 15:34:01;Yes;Facebook;Mobile Phone;Mobile data;More than 10 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;500-2000;Many of them;Less than 5;To get recent update and news;Updates of current affairs/news;Yes;No;No;Sometimes;Never;Yes;No, I am not trying;26;Male;Unmarried;Muslim;Graduate or above;Unemployed including students;10,000-40,000 Tk;Rural Area;With family;63;1.73;Non-smoker
2/22/2021 12:41:40;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;More than 5 per day;Less than 1 hour;Frequently at anytime;500-2000;Many of them;More than 20;For time pass;Updates of current affairs/news;Yes;No;Yes;Sometimes;Most of the times;No;Not trying;30;Male;Married;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;With family;65;1.75;Non-smoker
2/20/2021 0:17:55;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Night to late night;Less than 500;All of them;More than 20;To stay connected with people;Updates of current affairs/news;Yes;No;No;Sometimes;Most of the times;No;Trying to stop the use;21;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Urban Area;With family;65;1.75;Smoker
2/28/2021 14:04:01;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;23;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Rural Area;With family;65;1.75;Smoker
2/27/2021 13:18:22;Yes;Imo;Mobile Phone;Mobile data;5-10 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;Less than 5;To stay connected with people;Business;Yes;Yes;No;Always;Most of the times;No;Not trying;40;Male;Married;Muslim;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;Without family;56;1.63;Smoker
2/21/2021 18:33:49;Yes;Snapchat;Tablet;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Few of them;Less than 5;For time pass;Updates of people;Yes;Yes;No;Always;All the times;No;Trying to reduce the use;21;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Rural Area;With family;69;1.80;Smoker
2/16/2021 22:28:12;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;1-2 per day;More than 5 hours;Frequently at anytime;Less than 500;Most of them;5-10;Running business;To stay connected with people;Yes;No;No;Sometimes;Never;No;Not trying;29;Male;Unmarried;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;10,000-40,000 Tk;Urban Area;With family;69;1.80;Non-smoker
2/16/2021 20:45:58;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;10-20;To stay connected with people;Updates of people;Yes;No;Yes;Sometimes;Most of the times;Yes;Not trying;30;Female;Married;Muslim;Masters or above;Housemaker;No income;Urban Area;With family;51;1.55;Non-smoker
2/12/2021 20:40:20;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;2000-4000;Many of them;More than 20;For time pass;Motivational/ informative contents;Yes;No;No;Always;Most of the times;Yes;Trying to reduce the use;24;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;51;1.55;Non-smoker
3/7/2021 14:36:28;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;More than 5 hours;Night to late night;500-2000;Many of them;10-20;To stay connected with people;Updates of current affairs/news;Yes;Yes;Yes;Always;All the times;Yes;Not trying;19;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;51;1.55;Non-smoker
2/27/2021 19:14:24;Yes;Facebook;Desktop;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Afternoon;Less than 500;All of them;Less than 5;To stay connected with people;Updates of people;Yes;No;Yes;Not at all;Never;No;Not trying;52;Male;Married;Muslim;Masters or above;Govt. job;40,000-70,000 Tk;Urban Area;With family;58;1.65;Smoker
3/4/2021 15:52:12;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;More than 5 per day;More than 5 hours;Frequently at anytime;2000-4000;Many of them;5-10;To make new friends;Updates of current affairs/news;Yes;Yes;Yes;Not at all;All the times;Yes;Trying to stop the use;15;Male;Unmarried;Muslim;Primary level;Unemployed including students;No income;Rural Area;Without family;58;1.65;Smoker
3/6/2021 14:46:29;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Evening;500-2000;Most of them;Less than 5;For time pass;Updates of current affairs/news;Yes;Yes;No;Always;Most of the times;No;Not trying;17;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;58;1.65;Non-smoker
2/14/2021 19:05:20;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;5-10;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Not trying;26;Male;Unmarried;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;Without family;58;1.65;Smoker
3/5/2021 21:01:45;Yes;Facebook;Tablet;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Evening;2000-4000;Most of them;5-10;To make new friends;Updates of current affairs/news;Yes;Yes;Yes;Always;All the times;Yes;Not trying;19;Female;Unmarried;Muslim;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;With family;60;1.68;Non-smoker
2/22/2021 12:22:17;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;Many of them;More than 20;For time pass;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Most of the times;No;Not trying;24;Female;Unmarried;Muslim;Graduate Level;Intern doctor;10,000-40,000 Tk;Urban Area;With family;53;1.57;Non-smoker
2/21/2021 11:09:56;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;3-5 hours;Night to late night;Less than 500;Few of them;Less than 5;To stay connected with people;Get pleasure from funny posts/ memes;No;No;Yes;Sometimes;Most of the times;No;Trying to reduce the use;25;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;53;1.57;Non-smoker
3/1/2021 9:13:21;Yes;Instagram;Tablet;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Evening;Less than 500;Few of them;Less than 5;For time pass;Updates of current affairs/news;Yes;Yes;Yes;Sometimes;Most of the times;No;Trying to reduce the use;15;Female;Unmarried;Christan;Primary level;Unemployed including students;No income;Rural Area;With family;48;1.50;Non-smoker
3/1/2021 0:19:25;Yes;WhatsApp;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;All of them;5-10;To stay connected with people;To stay connected with people;Yes;No;No;Not at all;Never;No;Not trying;22;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;48;1.50;Non-smoker
2/20/2021 0:40:35;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;3-5 hours;Afternoon;500-2000;Few of them;10-20;To stay connected with people;Updates of people;No;No;No;Sometimes;Most of the times;Yes;Trying to reduce the use;22;Male;Unmarried;Muslim;Secondary Level;Private job;No income;Urban Area;With family;62;1.70;Smoker
2/20/2021 16:50:51;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;1-2 per day;3-5 hours;Frequently at anytime;500-2000;Most of them;10-20;To stay connected with people;To stay connected with people;No;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;23;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;10,000-40,000 Tk;Urban Area;With family;64;1.73;Non-smoker
3/1/2021 21:25:40;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;3-5 per day;3-5 hours;Night to late night;Less than 500;Most of them;10-20;To stay connected with people;To stay connected with people;Yes;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;15;Male;Unmarried;Muslim;Primary level;Unemployed including students;No income;Rural Area;With family;64;1.73;Smoker
2/20/2021 10:24:48;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;3-5 hours;Night to late night;2000-4000;All of them;10-20;To stay connected with people;Updates of current affairs/news;Yes;No;No;Sometimes;Never;No;Not trying;23;Male;Unmarried;Hindu;Graduate Level;Unemployed including students;10,000-40,000 Tk;Urban Area;Without family;64;1.73;Smoker
2/14/2021 19:16:01;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;Less than 5;For time pass;Updates of current affairs/news;No;No;No;Not at all;Never;Yes;Trying to reduce the use;24;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;45;1.45;Non-smoker
2/16/2021 21:19:47;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;All of them;Less than 5;To stay connected with people;Updates of current affairs/news;Yes;No;Yes;Sometimes;Most of the times;Yes;Not trying;27;Female;Married;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;55;1.60;Non-smoker
2/27/2021 21:36:49;Yes;Facebook;Laptop;Broadband (Wi-Fi);Less than 2-year;1-2 per day;3-5 hours;Frequently at anytime;More than 4000;All of them;More than 20;Running business;Motivational/ informative contents;Yes;No;Yes;Sometimes;All the times;No;Not trying;26;Male;Married;buddho;Graduate Level;Unemployed including students;40,000-70,000 Tk;Urban Area;With family;55;1.60;Smoker
2/13/2021 19:19:05;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;Yes;Not at all;Never;Yes;Trying to reduce the use;25;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Rural Area;Without family;55;1.60;Non-smoker
2/20/2021 1:11:42;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;No;No;No;Sometimes;Never;Yes;Trying to reduce the use;23;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;55;1.60;Non-smoker
3/1/2021 19:55:15;Yes;Facebook;Desktop;Broadband (Wi-Fi);More than 10 years;3-5 per day;Less than 1 hour;Frequently at anytime;2000-4000;Few of them;More than 20;To stay connected with people;Motivational/ informative contents;Yes;No;Yes;Sometimes;Never;No;Not trying;25;Male;Unmarried;Hindu;Secondary Level;Private job;40,000-70,000 Tk;Urban Area;Without family;66;1.75;Smoker
2/22/2021 11:04:27;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Night to late night;500-2000;Most of them;10-20;To stay connected with people;Updates of people;No;Yes;Yes;Sometimes;Most of the times;Yes;Not trying;25;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;10,000-40,000 Tk;Urban Area;With family;70;1.80;Non-smoker
2/20/2021 1:37:39;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Night to late night;500-2000;Many of them;10-20;To stay connected with people;Updates of people;Yes;No;Yes;Sometimes;Most of the times;No;Not trying;23;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;10,000-40,000 Tk;Urban Area;With family;70;1.80;Non-smoker
2/20/2021 21:52:21;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;26;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;50;1.52;Non-smoker
2/13/2021 21:25:17;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;26;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;50;1.52;Non-smoker
3/6/2021 21:58:19;Yes;Facebook;Tablet;Broadband (Wi-Fi);2-5 years;3-5 per day;1-3 hours;Afternoon;500-2000;Many of them;5-10;To make new friends;Updates of current affairs/news;Yes;Yes;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;55;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;Without family;50;1.52;Smoker
2/20/2021 11:55:48;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;3-5 per day;1-3 hours;Frequently at anytime;500-2000;All of them;5-10;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Not trying;25;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;50;1.52;Non-smoker
3/1/2021 13:20:20;Yes;Imo;Mobile Phone;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Morning;Less than 500;Most of them;Less than 5;To stay connected with people;To stay connected with people;No;Yes;Yes;Always;All the times;Yes;Trying to stop the use;19;Female;Married;Muslim;Secondary Level;Housewife;No income;Rural Area;With family;50;1.52;Non-smoker
3/4/2021 16:32:50;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;Few of them;Less than 5;To make new friends;Updates of people;Yes;Yes;No;Not at all;Never;No;Not trying;17;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;Without family;50;1.52;Smoker
2/26/2021 18:20:16;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;Less than 500;Many of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Trying to reduce the use;25;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Rural Area;With family;50;1.52;Non-smoker
2/13/2021 23:01:27;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;All of them;More than 20;To stay connected with people;Motivational/ informative contents;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;26;Female;Married;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;50;1.52;Non-smoker
2/28/2021 20:29:42;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;Few of them;Less than 5;For time pass;Updates of people;Yes;No;No;Not at all;Never;Yes;Trying to stop the use;52;Female;Unmarried;Muslim;Primary level;Housewife ;No income;Rural Area;With family;50;1.52;Non-smoker
2/20/2021 23:01:13;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;Most of them;More than 20;To stay connected with people;To stay connected with people;No;No;No;Not at all;Never;Yes;Trying to reduce the use;24;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;50;1.52;Non-smoker
3/5/2021 17:36:04;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;1-2 per day;1-3 hours;Frequently at anytime;Less than 500;Many of them;5-10;To make new friends;Updates of current affairs/news;Yes;Yes;No;Sometimes;Most of the times;No;Not trying;23;Female;Married;Muslim;Secondary Level;Housewife;No income;Rural Area;With family;57;1.63;Non-smoker
3/6/2021 19:51:46;Yes;Facebook;Tablet;Broadband (Wi-Fi);5-10 years;1-2 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;5-10;To make new friends;To stay connected with people;Yes;Yes;Yes;Sometimes;All the times;Yes;Trying to reduce the use;22;Female;Married;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;57;1.63;Non-smoker
2/24/2021 23:10:35;Yes;Facebook;Desktop;Broadband (Wi-Fi);More than 10 years;More than 5 per day;More than 5 hours;Night to late night;More than 4000;Most of them;More than 20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Not at all;All the times;No;Not trying;29;Female;Unmarried;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;Without family;59;1.65;Smoker
3/1/2021 0:13:05;Yes;Facebook;Laptop;Mobile data;Less than 2-year;Less than 1 per day;1-3 hours;Afternoon;More than 4000;Most of them;10-20;To make new friends;Updates of people;Yes;Yes;Yes;Not at all;Most of the times;Yes;Trying to stop the use;22;Male;Unmarried;Hindu;Graduate Level;Unemployed including students;No income;Rural Area;With family;59;1.65;Smoker
2/22/2021 12:12:47;Yes;Facebook;Mobile Phone;Mobile data;More than 10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;Updates of people;Yes;No;Yes;Sometimes;Most of the times;Yes;Not trying;29;Female;Married;Muslim;Graduate Level;Private job;Above 70,000 Tk;Urban Area;With family;52;1.55;Non-smoker
3/7/2021 23:11:14;Yes;WhatsApp;Mobile Phone;Mobile data;Less than 2-year;3-5 per day;3-5 hours;Frequently at anytime;500-2000;Few of them;10-20;For time pass;Updates of people;No;No;Yes;Not at all;Never;Yes;Trying to stop the use;17;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;52;1.55;Non-smoker
2/22/2021 10:55:00;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;No;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;27;Female;Married;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;52;1.55;Non-smoker
2/21/2021 12:57:56;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;More than 20;To stay connected with people;Updates of current affairs/news;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;26;Female;Unmarried;Muslim;Masters or above;Private job;10,000-40,000 Tk;Rural Area;With family;54;1.57;Non-smoker
2/28/2021 23:52:17;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;25;Female;Married;Muslim;Masters or above;Govt. job;10,000-40,000 Tk;Rural Area;With family;54;1.57;Non-smoker
2/20/2021 22:56:15;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;1-2 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;More than 20;To stay connected with people;Updates of people;Yes;No;Yes;Sometimes;Most of the times;No;Not trying;25;Female;Married;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;54;1.57;Non-smoker
2/19/2021 18:58:06;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;Most of them;More than 20;Running business;Updates of people;Yes;No;No;Always;Never;Yes;Not trying;28;Female;Unmarried;Muslim;Masters or above;Self-employed/Entrepreneur/Business;40,000-70,000 Tk;Urban Area;With family;54;1.57;Non-smoker
2/22/2021 10:23:35;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;1-3 hours;Frequently at anytime;500-2000;Few of them;10-20;To stay connected with people;To stay connected with people;Yes;No;No;Not at all;Never;No;Trying to reduce the use;25;Female;Married;Muslim;Graduate Level;doctor;10,000-40,000 Tk;Urban Area;With family;56;1.60;Non-smoker
2/22/2021 10:13:57;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;1-3 hours;Frequently at anytime;500-2000;Few of them;10-20;To stay connected with people;Updates of people;Yes;No;No;Sometimes;Most of the times;No;Trying to reduce the use;25;Female;Married;Muslim;Graduate Level;doctor;10,000-40,000 Tk;Urban Area;With family;56;1.60;Non-smoker
2/22/2021 23:37:25;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;Many of them;More than 20;For time pass;Motivational/ informative contents;Yes;No;Yes;Sometimes;Most of the times;No;Trying to reduce the use;22;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;10,000-40,000 Tk;Urban Area;With family;56;1.60;Non-smoker
2/27/2021 0:18:33;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;500-2000;Most of them;10-20;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Most of the times;No;Not trying;22;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;Without family;58;1.63;Non-smoker
2/20/2021 21:15:30;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Night to late night;Less than 500;Many of them;5-10;For time pass;Get pleasure from funny posts/ memes;No;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;26;Female;Married;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;58;1.63;Non-smoker
2/21/2021 17:46:00;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;Motivational/ informative contents;No;No;Yes;Sometimes;Most of the times;Yes;Trying to stop the use;26;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;51;1.52;Non-smoker
2/20/2021 9:25:47;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;Many of them;5-10;For time pass;Updates of people;No;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;30;Female;Divorced;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;With family;60;1.65;Non-smoker
2/20/2021 18:59:24;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Many of them;Less than 5;For time pass;Updates of people;Yes;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;24;Male;Unmarried;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;10,000-40,000 Tk;Urban Area;With family;60;1.65;Smoker
2/20/2021 0:10:34;Yes;Facebook;Laptop;Broadband (Wi-Fi);2-5 years;3-5 per day;More than 5 hours;Afternoon;500-2000;Many of them;10-20;To make new friends;To stay connected with people;No;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;33;Male;Unmarried;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;With family;60;1.65;Smoker
2/22/2021 0:41:32;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Afternoon;500-2000;Many of them;5-10;To stay connected with people;Updates of people;Yes;Yes;No;Not at all;Most of the times;Yes;Trying to stop the use;23;Female;Unmarried;Muslim;Graduate Level;Govt. job;10,000-40,000 Tk;Urban Area;With family;62;1.68;Non-smoker
2/19/2021 22:23:30;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Many of them;More than 20;For time pass;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Most of the times;Yes;Trying to reduce the use;26;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;62;1.68;Smoker
2/17/2021 17:40:39;Yes;Facebook;Mobile Phone;Mobile data;More than 10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;Few of them;More than 20;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Sometimes;Most of the times;No;Not trying;29;Female;Married;Muslim;Masters or above;Self-employed/Entrepreneur/Business;Above 70,000 Tk;Urban Area;Without family;53;1.55;Non-smoker
